date,destination_id,destination,domestic_visitors,international_visitors,visitors,log1p_visitors,split,is_zero_day,data_quality_flag
2023-02-18,7,Lăng vua Minh Mạng,344,341,685,6.5308776277,train,False,observed_complete
2023-02-19,7,Lăng vua Minh Mạng,210,259,469,6.1527326947,train,False,observed_complete
2023-02-20,7,Lăng vua Minh Mạng,129,290,419,6.0402547113,train,False,observed_complete
2023-02-21,7,Lăng vua Minh Mạng,113,427,540,6.2934192788,train,False,observed_complete
2023-02-22,7,Lăng vua Minh Mạng,140,379,519,6.2538288116,train,False,observed_complete
2023-02-23,7,Lăng vua Minh Mạng,194,276,470,6.1548580940,train,False,observed_complete
2023-02-24,7,Lăng vua Minh Mạng,199,293,492,6.2005091740,train,False,observed_complete
2023-02-25,7,Lăng vua Minh Mạng,222,354,576,6.3578422665,train,False,observed_complete
2023-02-26,7,Lăng vua Minh Mạng,340,380,720,6.5806391373,train,False,observed_complete
2023-02-27,7,Lăng vua Minh Mạng,156,292,448,6.1070228877,train,False,observed_complete
2023-02-28,7,Lăng vua Minh Mạng,96,277,373,5.9242557974,train,False,observed_complete
2023-03-01,7,Lăng vua Minh Mạng,150,346,496,6.2085900261,train,False,observed_complete
2023-03-02,7,Lăng vua Minh Mạng,137,499,636,6.4567696556,train,False,observed_complete
2023-03-03,7,Lăng vua Minh Mạng,212,406,618,6.4281052727,train,False,observed_complete
2023-03-04,7,Lăng vua Minh Mạng,321,348,669,6.5072777124,train,False,observed_complete
2023-03-05,7,Lăng vua Minh Mạng,290,286,576,6.3578422665,train,False,observed_complete
2023-03-06,7,Lăng vua Minh Mạng,151,282,433,6.0730445341,train,False,observed_complete
2023-03-07,7,Lăng vua Minh Mạng,184,257,441,6.0913098821,train,False,observed_complete
2023-03-08,7,Lăng vua Minh Mạng,154,357,511,6.2383246250,train,False,observed_complete
2023-03-09,7,Lăng vua Minh Mạng,335,350,685,6.5308776277,train,False,observed_complete
2023-03-10,7,Lăng vua Minh Mạng,277,385,662,6.4967749902,train,False,observed_complete
2023-03-11,7,Lăng vua Minh Mạng,315,463,778,6.6580110459,train,False,observed_complete
2023-03-12,7,Lăng vua Minh Mạng,246,326,572,6.3508857167,train,False,observed_complete
2023-03-13,7,Lăng vua Minh Mạng,242,172,414,6.0282785202,train,False,observed_complete
2023-03-14,7,Lăng vua Minh Mạng,192,389,581,6.3664704477,train,False,observed_complete
2023-03-15,7,Lăng vua Minh Mạng,159,387,546,6.3044488024,train,False,observed_complete
2023-03-16,7,Lăng vua Minh Mạng,172,337,509,6.2344107257,train,False,observed_complete
2023-03-17,7,Lăng vua Minh Mạng,202,348,550,6.3117348092,train,False,observed_complete
2023-03-18,7,Lăng vua Minh Mạng,384,335,719,6.5792512120,train,False,observed_complete
2023-03-19,7,Lăng vua Minh Mạng,356,285,641,6.4645883037,train,False,observed_complete
2023-03-20,7,Lăng vua Minh Mạng,164,415,579,6.3630281035,train,False,observed_complete
2023-03-21,7,Lăng vua Minh Mạng,157,316,473,6.1612073217,train,False,observed_complete
2023-03-22,7,Lăng vua Minh Mạng,133,348,481,6.1779441141,train,False,observed_complete
2023-03-23,7,Lăng vua Minh Mạng,137,410,547,6.3062752869,train,False,observed_complete
2023-03-24,7,Lăng vua Minh Mạng,238,610,848,6.7440591863,train,False,observed_complete
2023-03-25,7,Lăng vua Minh Mạng,408,302,710,6.5666724298,train,False,observed_complete
2023-03-26,7,Lăng vua Minh Mạng,4,270,274,5.6167710977,train,False,observed_complete
2023-03-27,7,Lăng vua Minh Mạng,160,407,567,6.3421214187,train,False,observed_complete
2023-03-28,7,Lăng vua Minh Mạng,198,235,433,6.0730445341,train,False,observed_complete
2023-03-29,7,Lăng vua Minh Mạng,143,279,422,6.0473721790,train,False,observed_complete
2023-03-30,7,Lăng vua Minh Mạng,194,387,581,6.3664704477,train,False,observed_complete
2023-03-31,7,Lăng vua Minh Mạng,326,318,644,6.4692503168,train,False,observed_complete
2023-04-01,7,Lăng vua Minh Mạng,377,210,587,6.3767269479,train,False,observed_complete
2023-04-02,7,Lăng vua Minh Mạng,264,236,500,6.2166061011,train,False,observed_complete
2023-04-03,7,Lăng vua Minh Mạng,213,318,531,6.2766434893,train,False,observed_complete
2023-04-04,7,Lăng vua Minh Mạng,122,270,392,5.9738096119,train,False,observed_complete
