destination,horizon,seed,model,MAE,rank
Lăng vua Khải Định,7,512,LSTM,460.2341682618148,6.0
Lăng vua Khải Định,7,512,RF,392.0261990516498,2.0
Lăng vua Khải Định,7,512,SARIMAX,453.1061195820573,4.0
Lăng vua Khải Định,7,512,SeasonalNaive7,453.7647058823531,5.0
Lăng vua Khải Định,7,512,TFT,276.94944265797653,1.0
Lăng vua Khải Định,7,2024,ARIMAX,436.6173280353984,4.0
Lăng vua Khải Định,7,2024,DLM,433.0860765852441,3.0
Lăng vua Khải Định,7,2024,ETS,465.60591447185055,8.0
Lăng vua Khải Định,7,2024,LSTM,461.267859256009,7.0
Lăng vua Khải Định,7,2024,RF,399.64838363739676,2.0
Lăng vua Khải Định,7,2024,SARIMAX,453.1061195820573,5.0
Lăng vua Khải Định,7,2024,SeasonalNaive7,453.7647058823531,6.0
Lăng vua Khải Định,7,2024,TFT,348.63971318197514,1.0
Lăng vua Khải Định,7,2025,ARIMAX,436.6173280353984,3.0
Lăng vua Khải Định,7,2025,DLM,477.6193232192574,8.0
Lăng vua Khải Định,7,2025,ETS,465.60591447185055,6.0
Lăng vua Khải Định,7,2025,LSTM,475.01883088090034,7.0
Lăng vua Khải Định,7,2025,RF,407.46788757034886,2.0
Lăng vua Khải Định,7,2025,SARIMAX,453.1061195820573,4.0
Lăng vua Khải Định,7,2025,SeasonalNaive7,453.7647058823531,5.0
Lăng vua Khải Định,7,2025,TFT,331.52294719548513,1.0
Lăng vua Khải Định,30,1,ARIMAX,623.0520143892384,6.0
Lăng vua Khải Định,30,1,DLM,612.2211647413055,5.0
Lăng vua Khải Định,30,1,ETS,743.6425537506017,8.0
Lăng vua Khải Định,30,1,LSTM,537.6420043504993,3.0
Lăng vua Khải Định,30,1,RF,505.58966839266185,2.0
Lăng vua Khải Định,30,1,SARIMAX,569.5522340741423,4.0
Lăng vua Khải Định,30,1,SeasonalNaive7,651.232044198895,7.0
Lăng vua Khải Định,30,1,TFT,342.2392348821651,1.0
Lăng vua Khải Định,30,7,ARIMAX,623.0520143892384,6.0
Lăng vua Khải Định,30,7,DLM,594.8982188103324,5.0
Lăng vua Khải Định,30,7,ETS,743.6425537506017,8.0
Lăng vua Khải Định,30,7,LSTM,526.8939007154378,3.0
Lăng vua Khải Định,30,7,RF,484.7270847076199,2.0
Lăng vua Khải Định,30,7,SARIMAX,569.5522340741423,4.0
Lăng vua Khải Định,30,7,SeasonalNaive7,651.232044198895,7.0
Lăng vua Khải Định,30,7,TFT,427.6993637506474,1.0
Lăng vua Khải Định,30,42,ARIMAX,623.0520143892384,5.0
Lăng vua Khải Định,30,42,DLM,781.2145411855573,8.0
Lăng vua Khải Định,30,42,ETS,743.6425537506017,7.0
Lăng vua Khải Định,30,42,LSTM,511.57185873661837,3.0
Lăng vua Khải Định,30,42,RF,491.84098667583385,2.0
Lăng vua Khải Định,30,42,SARIMAX,569.5522340741423,4.0
Lăng vua Khải Định,30,42,SeasonalNaive7,651.232044198895,6.0
Lăng vua Khải Định,30,42,TFT,425.14955097008806,1.0
Lăng vua Khải Định,30,77,ARIMAX,623.0520143892384,6.0
Lăng vua Khải Định,30,77,DLM,597.1706779176881,5.0
Lăng vua Khải Định,30,77,ETS,743.6425537506017,8.0
Lăng vua Khải Định,30,77,LSTM,516.223230850899,3.0
Lăng vua Khải Định,30,77,RF,514.9988318748627,2.0
Lăng vua Khải Định,30,77,SARIMAX,569.5522340741423,4.0
Lăng vua Khải Định,30,77,SeasonalNaive7,651.232044198895,7.0
Lăng vua Khải Định,30,77,TFT,396.4056605555076,1.0
Lăng vua Khải Định,30,99,ARIMAX,623.0520143892384,5.0
Lăng vua Khải Định,30,99,DLM,640.3980755379204,6.0
Lăng vua Khải Định,30,99,ETS,743.6425537506017,8.0
Lăng vua Khải Định,30,99,LSTM,507.6992306111784,3.0
Lăng vua Khải Định,30,99,RF,501.08417247661237,2.0
Lăng vua Khải Định,30,99,SARIMAX,569.5522340741423,4.0
Lăng vua Khải Định,30,99,SeasonalNaive7,651.232044198895,7.0
Lăng vua Khải Định,30,99,TFT,296.1272289634409,1.0
Lăng vua Khải Định,30,123,ARIMAX,623.0520143892384,5.0
Lăng vua Khải Định,30,123,DLM,975.9728377268254,8.0
Lăng vua Khải Định,30,123,ETS,743.6425537506017,7.0
Lăng vua Khải Định,30,123,LSTM,513.6953030380961,2.0
Lăng vua Khải Định,30,123,RF,518.9194729096108,3.0
Lăng vua Khải Định,30,123,SARIMAX,569.5522340741423,4.0
Lăng vua Khải Định,30,123,SeasonalNaive7,651.232044198895,6.0
Lăng vua Khải Định,30,123,TFT,274.8603090739382,1.0
Lăng vua Khải Định,30,256,ARIMAX,623.0520143892384,6.0
Lăng vua Khải Định,30,256,DLM,601.111937823725,5.0
Lăng vua Khải Định,30,256,ETS,743.6425537506017,8.0
Lăng vua Khải Định,30,256,LSTM,509.32187205230065,2.0
Lăng vua Khải Định,30,256,RF,523.3959126636269,3.0
Lăng vua Khải Định,30,256,SARIMAX,569.5522340741423,4.0
Lăng vua Khải Định,30,256,SeasonalNaive7,651.232044198895,7.0
Lăng vua Khải Định,30,256,TFT,332.514133853807,1.0
Lăng vua Khải Định,30,512,ARIMAX,623.0520143892384,5.0
Lăng vua Khải Định,30,512,DLM,853.0991933497951,8.0
Lăng vua Khải Định,30,512,ETS,743.6425537506017,7.0
Lăng vua Khải Định,30,512,LSTM,513.2300094054833,3.0
Lăng vua Khải Định,30,512,RF,491.1154799016967,2.0
Lăng vua Khải Định,30,512,SARIMAX,569.5522340741423,4.0
Lăng vua Khải Định,30,512,SeasonalNaive7,651.232044198895,6.0
Lăng vua Khải Định,30,512,TFT,311.4594767027797,1.0
Lăng vua Khải Định,30,2024,ARIMAX,623.0520143892384,6.0
Lăng vua Khải Định,30,2024,DLM,587.3563387971441,5.0
Lăng vua Khải Định,30,2024,ETS,743.6425537506017,8.0
Lăng vua Khải Định,30,2024,LSTM,521.0019399139599,3.0
Lăng vua Khải Định,30,2024,RF,505.9254528311685,2.0
Lăng vua Khải Định,30,2024,SARIMAX,569.5522340741423,4.0
Lăng vua Khải Định,30,2024,SeasonalNaive7,651.232044198895,7.0
Lăng vua Khải Định,30,2024,TFT,342.3233231180939,1.0
Lăng vua Khải Định,30,2025,ARIMAX,623.0520143892384,5.0
Lăng vua Khải Định,30,2025,DLM,791.9177400994646,8.0
Lăng vua Khải Định,30,2025,ETS,743.6425537506017,7.0
Lăng vua Khải Định,30,2025,LSTM,596.267122202106,4.0
Lăng vua Khải Định,30,2025,RF,502.24669075610444,2.0
Lăng vua Khải Định,30,2025,SARIMAX,569.5522340741423,3.0
Lăng vua Khải Định,30,2025,SeasonalNaive7,651.232044198895,6.0
Lăng vua Khải Định,30,2025,TFT,373.308997728548,1.0
Lăng vua Minh Mạng,1,1,ARIMAX,155.18397062848624,6.0
Lăng vua Minh Mạng,1,1,DLM,150.98146628049633,3.0
Lăng vua Minh Mạng,1,1,ETS,135.6659024982087,2.0
Lăng vua Minh Mạng,1,1,LSTM,154.28205383552708,5.0
Lăng vua Minh Mạng,1,1,RF,133.77033900103027,1.0
Lăng vua Minh Mạng,1,1,SARIMAX,151.59006328275962,4.0
Lăng vua Minh Mạng,1,1,SeasonalNaive7,215.86666666666667,8.0
Lăng vua Minh Mạng,1,1,TFT,160.0148799327197,7.0
Lăng vua Minh Mạng,1,7,ARIMAX,155.18397062848624,5.0
Lăng vua Minh Mạng,1,7,DLM,133.87419752485033,1.0
Lăng vua Minh Mạng,1,7,ETS,135.6659024982087,3.0
Lăng vua Minh Mạng,1,7,LSTM,158.45605987309852,6.0
Lăng vua Minh Mạng,1,7,RF,134.78147206902153,2.0
Lăng vua Minh Mạng,1,7,SARIMAX,151.59006328275962,4.0
Lăng vua Minh Mạng,1,7,SeasonalNaive7,215.86666666666667,8.0
Lăng vua Minh Mạng,1,7,TFT,174.13749871859892,7.0
Lăng vua Minh Mạng,1,42,ARIMAX,155.18397062848624,5.0
Lăng vua Minh Mạng,1,42,DLM,147.65674683832555,3.0
Lăng vua Minh Mạng,1,42,ETS,135.6659024982087,2.0
Lăng vua Minh Mạng,1,42,LSTM,159.6328960494832,6.0
Lăng vua Minh Mạng,1,42,RF,133.4054789126346,1.0
Lăng vua Minh Mạng,1,42,SARIMAX,151.59006328275962,4.0
Lăng vua Minh Mạng,1,42,SeasonalNaive7,215.86666666666667,8.0
Lăng vua Minh Mạng,1,42,TFT,160.50686325157545,7.0
Lăng vua Minh Mạng,1,77,ARIMAX,155.18397062848624,5.0
Lăng vua Minh Mạng,1,77,DLM,145.512121925373,3.0
Lăng vua Minh Mạng,1,77,ETS,135.6659024982087,2.0
Lăng vua Minh Mạng,1,77,LSTM,158.5604952190975,6.0
Lăng vua Minh Mạng,1,77,RF,135.37363488769793,1.0
Lăng vua Minh Mạng,1,77,SARIMAX,151.59006328275962,4.0
Lăng vua Minh Mạng,1,77,SeasonalNaive7,215.86666666666667,8.0
Lăng vua Minh Mạng,1,77,TFT,160.3645184764546,7.0
Lăng vua Minh Mạng,1,99,ARIMAX,155.18397062848624,5.0
Lăng vua Minh Mạng,1,99,DLM,154.01704083796196,4.0
Lăng vua Minh Mạng,1,99,ETS,135.6659024982087,2.0
Lăng vua Minh Mạng,1,99,LSTM,156.52229943880423,6.0
Lăng vua Minh Mạng,1,99,RF,134.41003856596652,1.0
Lăng vua Minh Mạng,1,99,SARIMAX,151.59006328275962,3.0
Lăng vua Minh Mạng,1,99,SeasonalNaive7,215.86666666666667,8.0
Lăng vua Minh Mạng,1,99,TFT,159.9595857904761,7.0
Lăng vua Minh Mạng,1,123,ARIMAX,155.18397062848624,5.0
Lăng vua Minh Mạng,1,123,DLM,144.23825508435272,3.0
Lăng vua Minh Mạng,1,123,ETS,135.6659024982087,2.0
Lăng vua Minh Mạng,1,123,LSTM,159.90150479775735,6.0
Lăng vua Minh Mạng,1,123,RF,134.92726523870124,1.0
Lăng vua Minh Mạng,1,123,SARIMAX,151.59006328275962,4.0
Lăng vua Minh Mạng,1,123,SeasonalNaive7,215.86666666666667,8.0
Lăng vua Minh Mạng,1,123,TFT,161.9437131091376,7.0
Lăng vua Minh Mạng,1,256,ARIMAX,155.18397062848624,6.0
Lăng vua Minh Mạng,1,256,DLM,148.59102276719236,4.0
Lăng vua Minh Mạng,1,256,ETS,135.6659024982087,2.0
Lăng vua Minh Mạng,1,256,LSTM,164.04304574065287,7.0
