mean,std,ci_lo,ci_hi,n,metric,destination,model,horizon,site
18.877156314617288,0.3510113809927391,18.62605789914363,19.128254730090948,10.0,MAPE,Lăng vua Minh Mạng,LSTM,1,Minh Mang Tomb
211.25025049814627,6.8561271433912445,206.34567259778723,216.15482839850532,10.0,MAE,Lăng vua Minh Mạng,LSTM,7,Minh Mang Tomb
332.1449701356281,8.242840174464632,326.2483974918667,338.04154277938954,10.0,RMSE,Lăng vua Minh Mạng,LSTM,7,Minh Mang Tomb
24.38742246745047,0.3993547956884033,24.10174125641521,24.67310367848573,10.0,MAPE,Lăng vua Minh Mạng,LSTM,7,Minh Mang Tomb
277.1308202390813,42.0088212820233,247.07951982255597,307.1821206556066,10.0,MAE,Lăng vua Minh Mạng,LSTM,30,Minh Mang Tomb
378.99497417497696,45.04597256092913,346.77102661655505,411.2189217333989,10.0,RMSE,Lăng vua Minh Mạng,LSTM,30,Minh Mang Tomb
31.601783508425665,3.596371069289305,29.02909462751289,34.17447238933844,10.0,MAPE,Lăng vua Minh Mạng,LSTM,30,Minh Mang Tomb
134.70240225854525,0.7315395621082977,134.1790903807874,135.2257141363031,10.0,MAE,Lăng vua Minh Mạng,RF,1,Minh Mang Tomb
206.8948983156974,1.4764756057492041,205.83869129460138,207.9511053367934,10.0,RMSE,Lăng vua Minh Mạng,RF,1,Minh Mang Tomb
16.683013766883008,0.08112045963775026,16.624983685864194,16.74104384790182,10.0,MAPE,Lăng vua Minh Mạng,RF,1,Minh Mang Tomb
178.06579139905136,2.144874431816641,176.5314406617735,179.60014213632923,10.0,MAE,Lăng vua Minh Mạng,RF,7,Minh Mang Tomb
274.3344668578844,3.4192986706833457,271.88844794017433,276.7804857755945,10.0,RMSE,Lăng vua Minh Mạng,RF,7,Minh Mang Tomb
22.105513377694866,0.4573199947772393,21.778366361184418,22.432660394205314,10.0,MAPE,Lăng vua Minh Mạng,RF,7,Minh Mang Tomb
229.40033791310026,3.195947240246477,227.11409498361556,231.68658084258496,10.0,MAE,Lăng vua Minh Mạng,RF,30,Minh Mang Tomb
300.3688923338009,2.135775348713579,298.84105068845895,301.8967339791428,10.0,RMSE,Lăng vua Minh Mạng,RF,30,Minh Mang Tomb
29.264470987725844,0.46104133296194916,28.934661886245443,29.594280089206244,10.0,MAPE,Lăng vua Minh Mạng,RF,30,Minh Mang Tomb
151.59006328275964,2.995911226518785e-14,151.59006328275962,151.59006328275967,10.0,MAE,Lăng vua Minh Mạng,SARIMAX,1,Minh Mang Tomb
239.79735063392536,0.0,239.79735063392536,239.79735063392536,10.0,RMSE,Lăng vua Minh Mạng,SARIMAX,1,Minh Mang Tomb
18.888265341125713,3.744889033148481e-15,18.88826534112571,18.888265341125717,10.0,MAPE,Lăng vua Minh Mạng,SARIMAX,1,Minh Mang Tomb
209.93114444542715,0.0,209.93114444542715,209.93114444542715,10.0,MAE,Lăng vua Minh Mạng,SARIMAX,7,Minh Mang Tomb
329.96909539308865,5.99182245303757e-14,329.9690953930886,329.9690953930887,10.0,RMSE,Lăng vua Minh Mạng,SARIMAX,7,Minh Mang Tomb
25.922940063597885,3.744889033148481e-15,25.92294006359788,25.92294006359789,10.0,MAPE,Lăng vua Minh Mạng,SARIMAX,7,Minh Mang Tomb
267.7065348268552,0.0,267.7065348268552,267.7065348268552,10.0,MAE,Lăng vua Minh Mạng,SARIMAX,30,Minh Mang Tomb
361.636428831199,5.99182245303757e-14,361.63642883119894,361.63642883119905,10.0,RMSE,Lăng vua Minh Mạng,SARIMAX,30,Minh Mang Tomb
32.7375773231819,7.489778066296963e-15,32.737577323181895,32.73757732318191,10.0,MAPE,Lăng vua Minh Mạng,SARIMAX,30,Minh Mang Tomb
215.8666666666667,5.99182245303757e-14,215.86666666666665,215.86666666666676,10.0,MAE,Lăng vua Minh Mạng,SeasonalNaive7,1,Minh Mang Tomb
392.4825261503157,5.99182245303757e-14,392.48252615031566,392.4825261503158,10.0,RMSE,Lăng vua Minh Mạng,SeasonalNaive7,1,Minh Mang Tomb
27.484673966728018,0.0,27.484673966728018,27.484673966728018,10.0,MAPE,Lăng vua Minh Mạng,SeasonalNaive7,1,Minh Mang Tomb
217.0686274509804,0.0,217.0686274509804,217.0686274509804,10.0,MAE,Lăng vua Minh Mạng,SeasonalNaive7,7,Minh Mang Tomb
396.13293718342663,5.99182245303757e-14,396.1329371834266,396.1329371834267,10.0,RMSE,Lăng vua Minh Mạng,SeasonalNaive7,7,Minh Mang Tomb
27.417842535125068,3.744889033148481e-15,27.417842535125065,27.41784253512507,10.0,MAPE,Lăng vua Minh Mạng,SeasonalNaive7,7,Minh Mang Tomb
305.1602209944751,5.99182245303757e-14,305.160220994475,305.16022099447514,10.0,MAE,Lăng vua Minh Mạng,SeasonalNaive7,30,Minh Mang Tomb
430.535732053201,5.99182245303757e-14,430.53573205320095,430.53573205320106,10.0,RMSE,Lăng vua Minh Mạng,SeasonalNaive7,30,Minh Mang Tomb
37.952889777351196,7.489778066296963e-15,37.95288977735119,37.9528897773512,10.0,MAPE,Lăng vua Minh Mạng,SeasonalNaive7,30,Minh Mang Tomb
162.01227872226778,7.191390190331627,156.86786808595724,167.15668935857832,10.0,MAE,Lăng vua Minh Mạng,TFT,1,Minh Mang Tomb
225.07393674689766,11.40393026160521,216.91605647884896,233.23181701494636,10.0,RMSE,Lăng vua Minh Mạng,TFT,1,Minh Mang Tomb
21.991961716291428,1.5399027027427734,20.890381683334276,23.09354174924858,10.0,MAPE,Lăng vua Minh Mạng,TFT,1,Minh Mang Tomb
164.50693640946025,18.574195310225903,151.2197575211139,177.7941152978066,10.0,MAE,Lăng vua Minh Mạng,TFT,7,Minh Mang Tomb
227.81811161759978,29.6871375632024,206.58121274273708,249.0550104924625,10.0,RMSE,Lăng vua Minh Mạng,TFT,7,Minh Mang Tomb
20.96578295535135,1.9651492403519666,19.559999874967833,22.37156603573487,10.0,MAPE,Lăng vua Minh Mạng,TFT,7,Minh Mang Tomb
177.29675319945616,40.89743495551634,148.0404906668186,206.5530157320937,10.0,MAE,Lăng vua Minh Mạng,TFT,30,Minh Mang Tomb
238.67743347428845,46.79483718047047,205.20242353263896,272.15244341593797,10.0,RMSE,Lăng vua Minh Mạng,TFT,30,Minh Mang Tomb
20.977736771921258,4.682400295353399,17.62814938403836,24.327324159804157,10.0,MAPE,Lăng vua Minh Mạng,TFT,30,Minh Mang Tomb
646.94739742796,0.0,646.94739742796,646.94739742796,10.0,MAE,Đại Nội,ARIMAX,1,Imperial City (Dai Noi)
1055.7647292517718,2.396728981215028e-13,1055.7647292517715,1055.764729251772,10.0,RMSE,Đại Nội,ARIMAX,1,Imperial City (Dai Noi)
12.014850367161344,0.0,12.014850367161344,12.014850367161344,10.0,MAPE,Đại Nội,ARIMAX,1,Imperial City (Dai Noi)
1180.9258700023915,2.396728981215028e-13,1180.9258700023913,1180.9258700023918,10.0,MAE,Đại Nội,ARIMAX,7,Imperial City (Dai Noi)
1757.4454553974297,0.0,1757.4454553974297,1757.4454553974297,10.0,RMSE,Đại Nội,ARIMAX,7,Imperial City (Dai Noi)
21.743637241723157,3.744889033148481e-15,21.743637241723153,21.74363724172316,10.0,MAPE,Đại Nội,ARIMAX,7,Imperial City (Dai Noi)
1492.3603515504435,0.0,1492.3603515504435,1492.3603515504435,10.0,MAE,Đại Nội,ARIMAX,30,Imperial City (Dai Noi)
1878.4882281284413,2.396728981215028e-13,1878.488228128441,1878.4882281284415,10.0,RMSE,Đại Nội,ARIMAX,30,Imperial City (Dai Noi)
28.35923656109697,3.744889033148481e-15,28.359236561096967,28.359236561096974,10.0,MAPE,Đại Nội,ARIMAX,30,Imperial City (Dai Noi)
641.6652845654261,16.17612915089713,630.0935788651725,653.2369902656797,10.0,MAE,Đại Nội,DLM,1,Imperial City (Dai Noi)
968.5112713787263,27.41915031973747,948.8967928411697,988.1257499162829,10.0,RMSE,Đại Nội,DLM,1,Imperial City (Dai Noi)
