MAE,RMSE,MSE,MAPE,R2,destination,model,horizon,seed
569.5522340741423,718.9653422080789,516911.16329638,29.182023702675753,-0.36622170594189174,Lăng vua Khải Định,SARIMAX,30,512
569.5522340741423,718.9653422080789,516911.16329638,29.182023702675753,-0.36622170594189174,Lăng vua Khải Định,SARIMAX,30,2024
569.5522340741423,718.9653422080789,516911.16329638,29.182023702675753,-0.36622170594189174,Lăng vua Khải Định,SARIMAX,30,2025
444.9285714285715,752.7242997463092,566593.8714285714,23.84341305224442,-0.3813173577942217,Lăng vua Khải Định,SeasonalNaive7,1,1
444.9285714285715,752.7242997463092,566593.8714285714,23.84341305224442,-0.3813173577942217,Lăng vua Khải Định,SeasonalNaive7,1,7
444.9285714285715,752.7242997463092,566593.8714285714,23.84341305224442,-0.3813173577942217,Lăng vua Khải Định,SeasonalNaive7,1,42
444.9285714285715,752.7242997463092,566593.8714285714,23.84341305224442,-0.3813173577942217,Lăng vua Khải Định,SeasonalNaive7,1,77
444.9285714285715,752.7242997463092,566593.8714285714,23.84341305224442,-0.3813173577942217,Lăng vua Khải Định,SeasonalNaive7,1,99
444.9285714285715,752.7242997463092,566593.8714285714,23.84341305224442,-0.3813173577942217,Lăng vua Khải Định,SeasonalNaive7,1,123
444.9285714285715,752.7242997463092,566593.8714285714,23.84341305224442,-0.3813173577942217,Lăng vua Khải Định,SeasonalNaive7,1,256
444.9285714285715,752.7242997463092,566593.8714285714,23.84341305224442,-0.3813173577942217,Lăng vua Khải Định,SeasonalNaive7,1,512
444.9285714285715,752.7242997463092,566593.8714285714,23.84341305224442,-0.3813173577942217,Lăng vua Khải Định,SeasonalNaive7,1,2024
444.9285714285715,752.7242997463092,566593.8714285714,23.84341305224442,-0.3813173577942217,Lăng vua Khải Định,SeasonalNaive7,1,2025
453.7647058823531,763.1561464874462,582407.3039215684,24.228478983120805,-0.41885549613994066,Lăng vua Khải Định,SeasonalNaive7,7,1
453.7647058823531,763.1561464874462,582407.3039215684,24.228478983120805,-0.41885549613994066,Lăng vua Khải Định,SeasonalNaive7,7,7
453.7647058823531,763.1561464874462,582407.3039215684,24.228478983120805,-0.41885549613994066,Lăng vua Khải Định,SeasonalNaive7,7,42
453.7647058823531,763.1561464874462,582407.3039215684,24.228478983120805,-0.41885549613994066,Lăng vua Khải Định,SeasonalNaive7,7,77
453.7647058823531,763.1561464874462,582407.3039215684,24.228478983120805,-0.41885549613994066,Lăng vua Khải Định,SeasonalNaive7,7,99
453.7647058823531,763.1561464874462,582407.3039215684,24.228478983120805,-0.41885549613994066,Lăng vua Khải Định,SeasonalNaive7,7,123
453.7647058823531,763.1561464874462,582407.3039215684,24.228478983120805,-0.41885549613994066,Lăng vua Khải Định,SeasonalNaive7,7,256
453.7647058823531,763.1561464874462,582407.3039215684,24.228478983120805,-0.41885549613994066,Lăng vua Khải Định,SeasonalNaive7,7,512
453.7647058823531,763.1561464874462,582407.3039215684,24.228478983120805,-0.41885549613994066,Lăng vua Khải Định,SeasonalNaive7,7,2024
453.7647058823531,763.1561464874462,582407.3039215684,24.228478983120805,-0.41885549613994066,Lăng vua Khải Định,SeasonalNaive7,7,2025
651.232044198895,838.3117110370572,702766.5248618785,33.71138388687092,-0.8574465955674098,Lăng vua Khải Định,SeasonalNaive7,30,1
651.232044198895,838.3117110370572,702766.5248618785,33.71138388687092,-0.8574465955674098,Lăng vua Khải Định,SeasonalNaive7,30,7
651.232044198895,838.3117110370572,702766.5248618785,33.71138388687092,-0.8574465955674098,Lăng vua Khải Định,SeasonalNaive7,30,42
651.232044198895,838.3117110370572,702766.5248618785,33.71138388687092,-0.8574465955674098,Lăng vua Khải Định,SeasonalNaive7,30,77
651.232044198895,838.3117110370572,702766.5248618785,33.71138388687092,-0.8574465955674098,Lăng vua Khải Định,SeasonalNaive7,30,99
651.232044198895,838.3117110370572,702766.5248618785,33.71138388687092,-0.8574465955674098,Lăng vua Khải Định,SeasonalNaive7,30,123
651.232044198895,838.3117110370572,702766.5248618785,33.71138388687092,-0.8574465955674098,Lăng vua Khải Định,SeasonalNaive7,30,256
651.232044198895,838.3117110370572,702766.5248618785,33.71138388687092,-0.8574465955674098,Lăng vua Khải Định,SeasonalNaive7,30,512
651.232044198895,838.3117110370572,702766.5248618785,33.71138388687092,-0.8574465955674098,Lăng vua Khải Định,SeasonalNaive7,30,2024
651.232044198895,838.3117110370572,702766.5248618785,33.71138388687092,-0.8574465955674098,Lăng vua Khải Định,SeasonalNaive7,30,2025
357.68761262840985,469.3781934273601,220315.88846513224,21.915423299682033,0.4999348863602713,Lăng vua Khải Định,TFT,1,1
329.35917132467193,435.66477192736767,189803.7934985253,18.92677592545532,0.5691901468099836,Lăng vua Khải Định,TFT,1,7
427.8414266175328,543.0951190724973,294952.30836036993,24.57365915084736,0.3305278133770563,Lăng vua Khải Định,TFT,1,42
341.63535776717885,454.2434384930739,206337.101414011,21.085955788478355,0.5316634365976766,Lăng vua Khải Định,TFT,1,77
